Vessel name,Bandeira,Total embarked,Total disembarked,Percent men,Percent women,Mortality rate,Middle passage,Captain's name
Príncipe Real,Portugal,492,452,,,0.08,,"Leiria, Joaquim das Neves"
NS do Monte do Carmo e Boa Fortuna,Portugal,475,457,,,0.04,,"Martins, Marcos"
NS da Conceição e Almas,Portugal,427,410,,,0.04,49,"Garcia, Francisco Correa<br/> Rocha, João Caetano da"
Minerva,Portugal,501,470,,,0.06,,"Fernandes, José"
S Antônio Sertório,Portugal,657,603,,,0.08,44,"Clemente, Manoel Francisco<br/> Pereira, José Antônio<br/> Melo, José Rodrigues de"
NS da Conceição e Cabo Frio,Portugal,337,313,,,0.07,114,"Salomão, José Saraiva<br/> Marinho, Manoel Saldanha"
Caridade,Portugal,412,406,,,0.01,,"Chaves, Antônio José Rodrigues"
Rainha dos Anjos,Portugal,617,612,,,0.01,44,"Santana, José Antônio de"
NS de Guadalupe e Sr Bom Jesus dos Navegantes Levante,Portugal,483,482,,,0.0,48,"Rêgo, Francisco Álvares do"
S João Diligente Vulcano,Portugal,526,488,,,0.07,51,"Jardim, Inácio João Bom"
S Antônio Postilhão,Portugal,547,539,,,0.01,,"Fonseca, Bernardo José da"
NS de Nazaré,Portugal,611,589,,,0.036006548,42,"Correa, Antônio José"
Esperança,Portugal,881,857,,,0.03,,"Guimarães, Custódio de Souza"
Boa Sociedade Ativo,Portugal,431,396,,,0.08,43,"Viana, Paulo José"
Flora,Portugal,525,520,,,0.01,36,"Firme, Antônio Caetano"
NS das Brotas e S João Nepomuceno,Portugal,579,525,,,0.09,43,"Firme, Manoel Caetano"
Vênus,Portugal,539,522,,,0.03,,"Sá, Joaquim Manoel de"
Bela Elisa,Portugal,850,831,,,0.02,39,"Vieira, Manoel José"
Príncipe Real,Portugal,521,516,,,0.01,19,"Pereira, José Guilherme<br/> Guedes, Manoel da Silva"
S Domingos e Estrela do Mar,Portugal,637,634,,,0.0,43,"Costa, José Bento da"
Dalma,Portugal,431,408,,,0.05,,"Moraes, Alexandre de Medeiros"
NS do Monte do Carmo e Boa Fortuna,Portugal,482,476,,,0.01,,"Almeida, José de"
NS do Monte do Carmo Luanda,Portugal,721,673,,,0.07,14,"Martinho, Marcos<br/> Machado, Francisco Pereira"
S Antônio Postilhão,Portugal,554,547,,,0.01,,"Fonseca, Bernardo José da"
S José Júpiter,Portugal,562,496,,,0.12,21,"Monteiro, Pedro dos Passos"
NS da Conceição e Cabo Frio,Portugal,436,434,,,0.0,51,"Marques, João"
Flora,Portugal,510,499,,,0.02,106,"Firme, Antônio Caetano"
NS da Conceição e Almas Paracatu,Portugal,444,416,,,0.06,,"Garcia, Francisco Correa"
NS de Nazaré,Portugal,523,513,,,0.02,131,"Siqueira, João Inácio de<br/> Correa, Antônio José"
Caridade,Portugal,401,394,,,0.02,,"Chaves, Antônio José Rodrigues"
Vênus,Portugal,565,562,,,0.01,46,"Rêgo, Francisco Álvares do"
Bela Elisa,Portugal,732,709,,,0.03,,"Teixeira, José da Silva"
S Joaquim Augusto,Portugal,601,589,,,0.02,44,"Leiria, Joaquim das Neves"
NS de Guadalupe e Sr Bom Jesus dos Navegantes Levante,Portugal,458,435,,,0.05,105,"Souza, Francisco José de"
Fé,Portugal,544,497,,,0.09,85,"Couto, Antônio Xavier do"
Boa Intenção,Portugal,518,475,,,0.08,60,"Vasconcelos, Anacleto Ferreira de"
S Antônio Postilhão,Portugal,542,532,,,0.02,,"Fonseca, Bernardo José da"
NS do Monte do Carmo e Boa Fortuna,Portugal,468,418,,,0.11,45,"Almeida, José de"
S Joaquim Augusto,Portugal,500,340,,,0.32,,"Leiria, Joaquim das Neves<br/> Bernardo, Alberto"
S João Nepomuceno,Portugal,502,471,,,0.06,60,"Lisboa, José Antônio"
NS de Nazaré,Portugal,360,331,,,0.08,,"Rosa, João Lopes<br/> Santos, João Francisco dos Santos"
Príncipe Real,Portugal,500,424,,,0.15,,"Guedes, Manoel da Silva"
Ninfa do Mar,Portugal,445,266,,,0.4,,"Barros, Simão José de"
NS da Conceição e Cabo Frio,Portugal,436,424,,,0.03,67,"Pereira, Santos"
Flora,Portugal,510,481,,,0.06,22,"Firme, Antônio Caetano"
S Domingos Estrela,Portugal,794,762,,,0.04,36,"Jardim, Inácio João Bom"
NS de Nazaré Golfinho,Portugal,523,499,,,0.05,16,"Siqueira, João Inácio de"
Vênus,Portugal,566,543,,,0.04,39,"Rêgo, Francisco Álvares do"
Amizade e NS da Guia,Portugal,594,545,,,0.08,48,"Oliveira, João Soares da"
NS da Conceição e Almas Paracatu,Portugal,189,186,,,0.02,54,"Marinho, Manoel de Saldanha"
NS da Conceição S Antônio e Flor do Mar,Portugal,633,629,,,0.01,,"Medeiros, Bernardo da Silva"
Menino Deus e Bom Piloto,Portugal,530,526,,,0.01,,"Coimbra, Luís Gomes"
Minerva,Portugal,698,633,,,0.09,52,"Caldas, Manoel José"
NS da Conceição e Almas,Portugal,440,409,,,0.07,49,"Garcia, Francisco Correa"
Caridade,Portugal,451,439,,,0.03,32,"Silva, João de Preleleuê"
NS de Guadalupe e Sr Bom Jesus dos Navegantes Levante,Portugal,486,476,,,0.02,,"Souza, Francisco José de"
Águia da América,Portugal,731,718,,,0.02,,"Guimarães, Custódio de Souza"
NS de Nazaré,Portugal,357,347,,,0.03,,"Guimarães, Antônio da Mata F<br/> Nunes, José Antônio"
NS da Conceição e S Bento Bela Africana,Portugal,823,750,,,0.09,42,"Carvalho, Francisco Benício de"
Feliz Africana,Portugal,437,427,,,0.02,,"Camizão, José Maria de Araújo"
S Antônio Postilhão,Portugal,544,522,,,0.04,,"Diniz, Antônio Gomes"
Pomba Volante,Portugal,384,366,,,0.05,143,"Moraes, Alexandre Gonçalves de"
Harmonia,Portugal,511,471,,,0.08,53,"Silva, José de Caieros e<br/> Almeida, José de"
S Joaquim Augusto,Portugal,613,567,,,0.08,63,"Martins, Marcos"
NS do Livramento,Portugal,407,395,,,0.03,52,"Simões, Manoel"
Bom Jesus Esgueira,Portugal,592,542,,,0.08,32,"Cruz, Manoel Álvares da<br/> Sena, Antônio Vieira de"
S José Arlequim,Portugal,522,509,,,0.02,46,"Martins, José Francisco"
Flora,Portugal,522,456,,,0.13,,"Firme, Antônio Caetano"
Fé,Portugal,576,553,,,0.04,12,"Pimentel, Francisco Inácio Mendonça"
NS da Piedade,Portugal,361,346,,,0.04,,"Siqueira, Antônio Pires de"
Feliz Sociedade,Portugal,874,806,,,0.08,49,"Viana, Paulo José"
NS da Conceição e S Rita,Portugal,497,466,,,0.06,47,"Silva, Manoel Correa da<br/> Vieira, Hipólito Bastos"
S José Diligente,Portugal,523,492,,,0.06,46,"Franco, Antônio da Costa<br/> Rocha, José Ferreira da"
Príncipe Real,Portugal,529,483,,,0.09,,"Guimarães, Custódio de Souza"
NS do Monte do Carmo e Boa Fortuna,Portugal,505,479,,,0.05,12,"Almeida, José de"
Resolução,Portugal,528,471,,,0.11,46,"Monteiro, Pedro dos Passos<br/> Silva, Tomé Guedes Pinto"
Mariana Dáfne,Portugal,450,399,,,0.11,32,"Sá, Manoel Gomes de<br/> Guedes, Manoel da Silva"
NS da Conceição e Cabo Frio,Portugal,470,447,,,0.05,42,"Silva, Antônio José da"
Palma,Portugal,219,213,,,0.03,47,"Pereira, Hipólito Marques<br/> Santos, Domingos Vieira dos"
Caridade,Portugal,366,360,,,0.02,,"Chaves, Antônio José Rodrigues"
Vênus,Portugal,557,546,,,0.02,,"Siqueira, João Inácio de"
Ninfa do Mar,Portugal,455,376,,,0.17,,"Silva, Francisco de Paula e"
Pérola do Norte,Portugal,520,487,,,0.063,50,"Coelho, Arnaldo José<br/> Caldas, Manoel José de"
NS do Livramento,Portugal,397,379,,,0.05,,"Nunes, José Antônio"
Menino Deus e Bom Piloto,Portugal,542,498,,,0.08,95,"Coimbra, Luís Gomes"
NS da Conceição e Almas,Portugal,440,404,,,0.08,,"Barbosa, João Luís"
Águia da América,Portugal,752,728,,,0.03,33,"Silva, João Alberto da"
NS da Piedade,Portugal,359,333,,,0.07,,"Siqueira, Antônio Peres de"
Feliz Triunfante,Portugal,810,769,,,0.05,52,"Lemos, Francisco Álvares de Souza<br/> Rocha, José Ferreira da"
NS de Guadalupe e Sr Bom Jesus dos Navegantes Levante,Portugal,476,438,,,0.08,,"Lisboa, José Antônio<br/> Souza, Francisco José de"
Harmonia,Portugal,525,507,,,0.03,46,"Silva, José de Caieros e"
S José Arlequim,Portugal,581,549,,,0.06,14,"Martins, Marcos"
S Antônio Postilhão,Portugal,533,494,,,0.07,,"Martins, Caetano José"
Amável Donzela,Portugal,382,342,,,0.1,84,"Melo, José Pereira de"
NS do Carmo Pomba Volante,Portugal,400,359,,,0.1,,"Lisboa, José Antônio"
Vênus,Portugal,581,556,,,0.04,,"Siqueira, João Inácio de"
Amizade,Portugal,493,481,,,0.02,43,"Sá, Joaquim Manoel de"
Flora,Portugal,593,503,,,0.15,53,"Souza, Francisco José de<br/> Jardim, Inácio João Bom"
Nazaré,Portugal,372,333,,,0.1,,"Firme, Antônio Caetano"
S José Diligente,Portugal,305,284,,,0.07,,"Santos, Francisco Joaquim dos"
Caridade,Portugal,358,342,,,0.04,,"Chaves, Antônio José Rodrigues"
Mahoneza,Portugal,514,483,,,0.06,50,"Couto, Anastácio Xavier do"
S José Diligente Vulcano,Portugal,487,447,,,0.08,52,"Rocha, José Ferreira da"
Príncipe Real,Portugal,523,486,,,0.07,,"Carrilho, José Rodrigues"
NS do Monte do Carmo e Boa Fortuna,Portugal,479,450,,,0.06,60,"Figueiredo, Antônio Peres de"
Comércio do Rio,Portugal,666,602,,,0.1,,"Gonçalves, Joaquim José"
NS da Conceição e Almas Paracatu,Portugal,461,378,,,0.18,60,"Garcia, Francisco Correa"
Menino Deus e Bom Piloto,Portugal,542,514,,,0.05,,"Coimbra, Luís Gomes<br/> Santos, Domingos Vieira dos"
S Joaquim Augusto,Portugal,491,433,,,0.12,42,"Rosario, Inácio Antunes do"
Águia da América,Portugal,744,654,,,0.12,,"Guimarães, Custódio de Souza"
Feliz Sociedade,Portugal,352,326,,,0.07,66,"Camizão, José Maria de Araújo"
Pérola do Norte,Portugal,587,527,,,0.1,30,"Silva, João Alberto da<br/> Siqueira, João Inácio de"
NS do Livramento,Portugal,485,418,,,0.14,22,"Nunes, José Antônio"
NS da Conceição e S Rita (a) Queimado,Portugal,504,435,,,0.14,39,"Almeida, José de"
Carolina do Sul,Portugal,622,594,,,0.05,25,"Muniz, José da Costa<br/> Silva, Antônio José da"
S João Diligente Vulcano,Portugal,371,314,,,0.15,39,"Jardim, Inácio João Bom"
Amável Donzela,Portugal,631,576,,,0.09,55,"Melo, José Pereira de<br/> Leiria, Joaquim das Neves"
Levante,Portugal,475,450,,,0.05,,"Lisboa, José Antônio"
S João Domingos Estrela,Portugal,511,491,,,0.04,41,"Caldas, Manoel José<br/> Lemos, Francisco Alves de Souza"
Maria Apolônia,Portugal,390,353,,,,,"Souza, Bernardo Pereira de"
Harmonia,Portugal,345,324,,,0.06,40,"Silva, José de Caieros e"
Resolução,Portugal,422,403,,,0.05,46,"Vasconcelos, Tomé Guedes Pinto de"
S Antônio Postilhão,Portugal,547,454,,,0.17,66,"Martins, Caetano José<br/> Hidalgo, Joaquim José"
Vênus,Portugal,556,474,,,0.15,,"Siqueira, João Inácio de<br/> Coimbra, Luís Gomes"
Mahoneza,Portugal,574,409,,,0.29,,"Couto, Anastácio Xavier do"
Flora,Portugal,546,438,,,0.2,51,"Souza, Francisco José de"
Flor do Mar,Portugal,528,426,,,0.19,,"Viana, Paulo José"
S João Nepomuceno,Portugal,237,176,,,0.26,50,"Firme, Manoel Caetano"
Paquete Infante,Portugal,585,529,,,0.1,45,"Carrilho, João Rodrigues"
NS da Conceição e Almas Paracatu,Portugal,367,237,,,0.35,79,"Garcia, Francisco Correa"
Feliz Triunfante,Portugal,305,214,,,0.3,,"Melo, Francisco Xavier Álvares de<br/> Lisboa, João dos Santos"
Príncipe Real,Portugal,492,418,,,0.15,,"Figueiredo, Antônio Peres de"
NS da Conceição e S Rita (a) Queimado,Portugal,454,309,,,0.32,44,"Almeida, Manoel José de"
Caridade,Portugal,165,164,,,0.01,112,"Silva, Custódio José da"
S José Diligente Vulcano,Portugal,259,200,,,0.23,51,"Alves, Isidoro<br/> Melo, João José de"
S José Arlequim,Portugal,206,164,,,0.2,54,"Martins, Marcos"
Pérola do Norte,Portugal,587,489,,,0.17,,"Siqueira, João Inácio de<br/> Nunes, José Antônio"
Menino Deus e Bom Piloto,Portugal,543,503,,,0.07,48,"Coimbra, Luís Gomes"
S Domingos Estrela,Portugal,316,290,,,0.08,,"Chaves, Antônio José Rodrigues"
NS do Carmo e Boa Fortuna,Portugal,436,369,,,0.15,,"Rosario, Inácio Antunes do"
Rainha dos Anjos,Portugal,625,508,,,0.19,47,"Santana, José Antônio de"
NS do Carmo Pomba Volante,Portugal,402,355,,,0.12,,"Caldas, Manoel José"
Diana,Portugal,358,212,,,0.41,,"Monteiro, João Aires"
Carolina do Sul,Portugal,620,577,,,0.07,,"Silva, Antônio José da<br/> Santos, Vitorino José Ribeiro dos"
Ninfa do Mar,Portugal,193,130,,,0.33,,"Fonseca, Manoel Antônio da"
S João Americano,Portugal,608,373,,,0.39,50,"Silva, José de Caieros e"
NS de Guadalupe e Sr Bom Jesus dos Navegantes Levante,Portugal,475,389,,,0.18,,"Rêgo, Francisco Álvares do"
NS da Boa Viagem Abismo,Portugal,355,285,,,0.2,,"Santos, Casemiro Lúcio dos"
Flor do Mar,Portugal,499,421,,,0.16,,"Vasconcelos, Tomé Guedes Pinto de<br/> Lange, Francisco Bernardo"
Flora,Portugal,585,453,,,0.23,,"Garcia, Francisco Correa"
Vênus,Portugal,555,461,,,0.17,,"Silva, João Alberto da"
NS da Conceição e S Rita (a) Queimado,Portugal,473,367,,,0.22,,"Almeida, José de"
Fênix Triunfante,Portugal,711,682,,,0.04,,"Lisboa, João dos Santos"
S Antônio Postilhão,Portugal,533,511,,,0.04,,"Hidalgo, Joaquim José"
S Antônio e Almas Flor da América,Portugal,451,435,,,0.04,,"Batista, João Guilherme"
NS da Conceição e Almas Paracatu,Portugal,428,378,,,0.12,,"Moraes, Alexandre Gonçalves de"
Amizade,Portugal,592,444,,,0.25,275,"Melo, José Pereira de<br/> Santana, José Antônio de"
Mato Grosso,Portugal,570,550,,,0.04,,"Silva, Manoel Correa da<br/> Nunes, José Antônio"
S José Diligente Vulcano,Portugal,490,412,,,0.16,,"Ribeiro, José Maria Claro"
S Domingos Estrela,Portugal,745,649,,,0.13,,"Chaves, Antônio José Rodrigues"
Paquete Infante,Portugal,574,568,,,0.01,,"Carrilho, João Rodrigues"
Flor do Mar,Portugal,604,461,,,0.24,,"Santos, Manoel Joaquim"
Feliz Eugênia (a) Europa,Portugal,689,674,,,0.02,,"Figueiredo, Antônio Peres de"
Restauradora,Portugal,423,353,,,0.17,106,Monteiro Joaquim do Rosario
Flor do Rio,Portugal,392,330,,,0.16,,"Camizão, José Maria de Araújo"
Rainha dos Anjos,Portugal,576,419,,,0.27,,"Santana, José Antônio de<br/> Santos, Domingos Vieira dos"
NS das Brotas e S João Nepomuceno Perjuíba,Portugal,525,448,,,0.15,,"Pontes, João Galdino<br/> Silva, Antônio José da"
Dido,Portugal,609,540,,,0.11,,"Silva, João Alberto da"
Pérola do Norte,Portugal,586,503,,,0.14,,"Nunes, José Antônio<br/> Sá, Joaquim Manoel de"
S José Arlequim,Portugal,562,415,,,0.26,,"Melo, Francisco Xavier Álvares de"
Dois Irmãos (a) Paraquito,Portugal,200,151,,,0.24,,"Meireles, José Joaquim de"
Camponesa,Portugal,437,367,,,0.16,,"Lange, Francisco Bernardes"
Amizade,Portugal,430,371,,,0.14,,"Santana, José Antônio de"
S João Americano,Portugal,576,358,,,0.38,,"Caldas, Manoel José"
Rosália e NS da Paz,Portugal,400,262,,,,38,"Costa, Joaquim Lino da"
Menino Deus e Bom Piloto,Portugal,526,502,,,0.05,,"Coimbra, Luís Gomes"
Fênix Triunfante,Portugal,700,560,,,0.2,,"Lisboa, João dos Santos"
Flor do Mar,Portugal,343,320,,,0.07,,"Garcia, Francisco Correa<br/> Nascimento, José Francisco do"
NS da Conceição e Almas Paracatu,Portugal,51,50,,,0.02,,"Santos, José Rodrigues dos"
NS da Conceição e S Rita (a) Queimado,Portugal,476,374,,,0.21,,"Almeida, José de"
NS do Carmo S José e Grão Penedo,Portugal,467,459,,,0.02,,"Rosario, Inácio Antunes do"
S Joaquim Augusto,Portugal,597,490,,,0.18,,"Silva, João Pereira<br/> Preleluê, João de"
Carolina do Sul,Portugal,649,628,,,0.03,,"Labra, José Inácio"
Vulcano,Portugal,766,717,,,0.06,,"Álvares, Isidoro"
S José Diligente Vulcano,Portugal,520,472,,,0.09,,"Ribeiro, José Maria Claro"
Flora,Portugal,546,520,,,0.05,,"Garcia, Francisco Correa"
Rainha dos Anjos,Portugal,521,433,,,0.17,,"Santos, Domingos Vieira dos"
S João Nepomuceno,Portugal,524,441,,,0.16,,"Silva, José Leite da"
Favorita,Portugal,530,525,,,0.01,,"Dias, João de Oliveira<br/> Diniz, Teodoro José de"
S Domingos Estrela,Portugal,747,696,,,0.07,,"Chaves, Antônio José Rodrigues"
Amizade,Portugal,466,444,,,0.05,,"Camizão, José Maria de Araújo"
NS de Guadalupe e Sr Bom Jesus dos Navegantes Levante,Portugal,460,441,,,0.04,,"Rêgo, Francisco Álvares do"
Flor do Mar,Portugal,604,531,,,0.12,,"Lisboa, José Antônio"
Esperança,Portugal,404,381,,,0.06,,"Blanchart, Manoel Pereira de Souza"
Restauradora,Portugal,514,443,,,0.14,,"Salvo, Amaro Maria"
Príncipe Regente,Portugal,212,142,,,0.33,92,"Calado, José Francisco"
Vênus,Portugal,539,519,,,0.04,,"Sá, Joaquim Manoel de<br/> Nunes, José Antônio"
Bom Jesus dos Martírios,Portugal,90,82,,,0.09,,"Costa, Manoel Antônio da"
Flor da América,Portugal,451,364,,,0.19,,"Batista, João Guilherme"
Camponesa,Portugal,452,373,,,0.17,,"Silva, João Alberto da"
Feliz Eugênia (a) Europa,Portugal,789,735,,,0.07,,"Figueiredo, Antônio Peres de"
NS da Conceição,Portugal,79,72,,,0.09,,"Santos, Guilherme Gonçalves dos"
NS das Brotas e S João Nepomuceno Perjuíba,Portugal,521,481,,,0.08,,"Silva, Antônio José da"
S José Arlequim,Portugal,522,404,,,0.23,,"Preleluê, João de"
S Antônio Postilhão,Portugal,532,471,,,0.11,,"Hidalgo, Joaquim José"
Mato Grosso,Portugal,575,472,,,0.18,,"Coimbra, Luís Gomes<br/> Couto, Manoel Antônio"
Amizade,Portugal,465,434,,,0.07,,"Camizão, José Maria de Araújo<br/> Ribeiro dos Santos, V José"
Paquete Infante,Portugal,546,495,,,,,"Carrilho, João Rodrigues"
S Joaquim Augusto,Portugal,509,417,,,0.18,,"Portela, Adriano"
Flor do Mar,Portugal,599,466,,,0.22,,"Vilasboas, Nicolau da Silveira<br/> Silveira, Alexandre José da<br/> Santos, Domingos Vieira dos"
Pérola do Norte,Portugal,588,549,,,0.07,,"Alfena, Manoel Xavier"
S José Diligente Vulcano,Portugal,787,751,,,0.05,,"Álvares, Isidoro"
NS da Conceição e S Rita (a) Queimado,Portugal,492,456,,,0.07,,"Joaquim, Simão"
Vigilante,Portugal,316,286,,,,,"Melo, Francisco Xavier Álvares de"
Apolo,Portugal,574,520,,,0.09,,"Barros, Antônio Daniel Batista de<br/> Campos, Antônio José de"
Flor da América,Portugal,387,351,,,,,"Álvares, João Luís"
Rainha dos Anjos,Portugal,598,519,,,0.13,,"Santana, José Antônio de<br/> Sá, Joaquim Manoel de"
Feliz Eugênia (a) Europa,Portugal,688,642,,,0.07,,"Figueiredo, Antônio Peres de"
Bonfim,Portugal,457,419,,,,,"Silva, Teodoro José da"
S José Diligente Vulcano,Portugal,493,442,,,0.1,,"Ribeiro, José Maria Claro"
Protetor,Portugal,506,466,,,0.08,,"Bandeira, João Martins"
NS da Piedade,Portugal,414,395,,,0.05,,"Ramos, Antônio Francisco"
Amizade,Portugal,557,499,,,0.1,,"Camizão, José Maria de Araújo"
Mercúrio,Portugal,405,321,,,0.21,,"Silva, José Leite da"
Camponesa,Portugal,458,365,,,0.2,,"Silva, João Alberto da"
Carolina do Sul,Portugal,606,574,,,0.05,,"Labra, José Inácio"
Esperança,Portugal,401,313,,,0.22,,"Blanchart, Manoel Pereira de Souza"
S João Nepomuceno,Portugal,356,324,,,0.09,,"Silva, José Ferreira da"
Flor do Rio,Portugal,487,484,,,0.01,,"Garcia, Francisco Correa"
Mariana Dáfne,Portugal,500,385,,,0.23,,"Machado, Justino Pedro"
Vênus,Portugal,540,454,,,0.16,,"Caldas, Manoel José"
S Domingos Estrela,Portugal,735,701,,,0.05,,"Silva, José Antônio da"
Flor do Mar,Portugal,422,341,,,0.19,,"Santos, Domingos Vieira dos<br/> Santana, José Antônio de"
Feliz Eugênia,Portugal,500,465,,,0.07,,"Figueiredo, Antônio Peres de"
Pequena Aventura,Portugal,262,237,,,,28,"Espanhol, Tiago Barbosa<br/> Paiane, Diogo"
Nova Fragatinha,Portugal,280,206,,,0.26,,"Viana, Pedro José Correa"
Galeão,Portugal,518,465,,,0.1,,"Mota, José Maria da"
Mercúrio,Portugal,404,377,,,0.07,,"Martins, Francisco José"
Restaurador,Portugal,630,550,,,0.13,,"Santos, Félix José dos"
S José Indiano,Portugal,722,644,,,,,"Coelho, Francisco de Paula"
S José Diligente Vulcano,Portugal,593,558,,,0.06,,"Maia, João Lopes de Gouvêa"
Paquete Infante,Portugal,569,515,,,0.09,,"Carvalho, João Rodrigues"
Protetor,Portugal,560,532,,,0.05,,"Freitas, Gregório José Ribeiro de"
Ateneu,Portugal,506,458,,,,,"Santos, Joaquim Ferreira dos"
S José Arlequim,Portugal,577,505,,,0.12,,"Preleluê, João de<br/> Conceição, João Domingues da"
S Pedro do Sul,Portugal,352,319,,,,,"Silva, José Leite da"
NS do Monte do Carmo e Grão Penedo,Portugal,495,470,,,0.05,,"Almeida, José de"
Camponesa,Portugal,426,400,,,0.06,,"Rêgo, Francisco de Sales"
Flor da América,Portugal,442,400,,,,,"Silva, Antônio José da"
Vulcano,Portugal,752,681,,,,,"Álvares, Isidoro"
Rainha de Nantes,Portugal,448,406,,,,,"Blanchart, Manoel Pereira de Souza"
Bom Jesus Esgueira,Portugal,611,571,,,0.07,,"Chaves, Antônio José Rodrigues"
S João Americano,Portugal,478,435,,,0.09,,"Nunes, José Antônio de Santana"
Vigilante,Portugal,454,429,,,0.06,70,"Melo, Francisco Xavier Álvares de"
S José Diligente,Portugal,277,257,,,0.07,53,"Firme, Antônio Caetano"
Vasco da Gama,Portugal,484,458,,,0.05,,"Costa, Francisco da"
Pérola do Norte,Portugal,588,554,,,0.06,,"Alfena, Manoel Xavier"
Dido,Portugal,424,421,,,0.01,,"Silva, Manoel de Jesus da"
NS de Guadalupe e Sr Bom Jesus dos Navegantes Levante,Portugal,457,394,,,0.14,,"Nunes, José Antônio<br/> Ciríaco, Tristão"
Rainha dos Anjos,Portugal,695,609,,,0.12,,"Sá, Joaquim Manoel de"
NS do Livramento Telêmaco,Portugal,541,517,,,0.04,,"Siqueira, João Inácio de"
Providente,Portugal,231,231,,,0.0,,"Domingues, Jerônimo Rodrigues"
S Antônio Diligente,Portugal,549,425,,,0.23,,"Matos, Silvério José de"
NS da Piedade,Portugal,387,351,,,,,"Silva, João José da Silva"
Alexandre,Portugal,215,191,,,0.11,104,"Almeida, Manoel Pedro de<br/> Soares, José Narciso<br/> Souza, Joaquim José"
Leão,Portugal,220,202,,,0.08,,"Santos, Joaquim Pereira dos<br/> Silva, Carlos Alberto da"
Cleópatra,Portugal,135,120,,,,,Minto
Albuquerque,Portugal,171,140,,,,65,"Almeida, Manoel Pedro de"
Rosaline,Portugal,489,400,,,,,
NS de Nazaré,,381,331,,,,,"Rios, João de Almeida"
S José,,567,550,,,0.03,,"Almeida, Manoel Gomes de"
Bom Jesus dos Navegantes,,508,386,,,0.24,,
Santíssimo Sacramento e Todos os Santos,,410,406,,,0.01,60,
S José,Portugal,194,146,,,0.25,,"Gonçalves, Jerônimo<br/> Reis, Gaspar dos"
S Sebastião,Portugal,219,211,,,0.04,,"Costa, José da Silva"
S Pedro,Portugal,170,169,,,0.01,,"Bulhão, José de Oliveira"
S José,Portugal,162,136,0.53548,0.26452,,,"Gouvêa, Felipe de Figueiredo e"
NS das Necessidades,Portugal,151,147,,,,,"Santos, José dos"
S Antônio,Portugal,216,208,0.41667,0.2963,0.04,,"Costa, Miguel Pereira da"
S Pedro Gonçalves,Portugal,171,167,0.53448,0.2931,0.02,32,"Franco, Bernardo"
S Pedro Gonçalves,Portugal,163,141,0.37267,0.30435,0.13,,"Costa, Miguel Pereira da"
NS do Cabo,Portugal,194,125,0.528,0.304,0.36,,"Bitencourt, Manoel da Cunha"
S Francisco Xavier,Portugal,200,189,0.52,0.32,0.06,43,"Tomás, Manoel da Silva"
S Pedro Gonçalves,Portugal,167,127,0.38323,0.2515,,,"Silva, Inácio Luís da"
S Francisco Xavier,Portugal,170,159,0.57059,0.17647,,,"Tomás, Manoel da Silva"
S Pedro Gonçalves,Portugal,151,109,0.40397,0.33113,0.28,,"Silva, Inácio Luís da"
S Francisco Xavier,Portugal,192,181,0.43229166,0.41145834,0.057291668,,"Tomás, Manoel da Silva"
S Francisco Xavier,Portugal,244,225,0.47059,0.20392,0.08,,"Tomás, Manoel da Silva"
S Pedro Gonçalves,Portugal,202,194,0.53465,0.29703,,,"Silva, Inácio Luis da"
S Antônio,Portugal,198,198,0.37766,0.41489,0.0,,"Chaves, Domingos Antônio de"
S Sebastião,Portugal,143,127,0.5567,0.27835,0.11,,"Santos, Leonardo José dos"
S Pedro Gonçalves,Portugal,226,216,0.31858,0.44248,,,"Silva, Inácio Luís da"
S Pedro,Portugal,181,177,0.40331,0.35912,,,"Cabo, Manoel Luis do"
S Francisco Xavier,Portugal,220,198,0.45455,0.23182,,,"Tomás, Manoel da Silva"
S Antônio,Portugal,185,177,0.43784,0.3027,,,"Chaves, Domingos Antônio"
S Paulo,Portugal,152,129,0.34868,0.36184,,,"Travassos, José Manoel"
NS da Oliveira,Portugal,201,191,0.42786,0.24378,,,"Cabo, Manoel Luis do"
S Paulo,Portugal,158,151,0.3481,0.28481,,,"Lima, Jerônimo Gonçalves"
NS da Mãe de Deus,Portugal,2,2,,,0.0,,"Costa, Miguel Pereira da"
NS da Mãe de Deus,Portugal,2,2,,,0.0,,
S José,Portugal,230,209,,,0.09,,"Reis, Gaspar dos"
NS da Conceição,,77,77,,,0.0,,
NS da Conceição,Portugal,220,208,0.49091,0.22727,,,"Ribeiro, José Gomes"
NS da Conceição,Portugal,2,2,,,0.0,,
NS da Conceição Africana,Portugal,31,31,0.6129,0.0,0.0,,"Cantuaria, Joaquim Tomás de"
S Luís Rei da França,Portugal,202,182,0.33663,0.31683,,,"Fateixa, Manoel dos Santos<br/> Rosa, Veríssimo Duarte"
S Luís Rei da França,Portugal,176,127,0.4375,0.26136,,,"Costa, Miguel Pereira da"
S Luís Rei da França,Portugal,227,205,0.43612,0.2511,,,"Costa, Miguel Pereira da"
Santana e S Joaquim,Portugal,8,8,,,0.0,,"Bulhão, José de Oliveira"
S Pedro,Portugal,130,127,0.50769,0.21538,,,"Neves, Antônio Pereira das"
S Francisco Xavier,Portugal,137,131,0.84672,0.10949,,,"Tomás, Manoel da Silva"
S Pedro Gil,Portugal,90,80,0.47727,0.35227,,,"Franco, Bernardo"
S Pedro,,2,2,,,0.0,,
S Pedro,Portugal,180,176,0.44444,0.29444,,77,"Florêncio, Antônio"
